customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Male,0,No,No,0,Yes,No,DSL,No internet service,No,No,Yes,No,No,One year,Yes,Mailed check,21.453612929628726,2532.6957762620827,No
7590-VHVEG,Female,1,No,No,1,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),72.34614200775583,193.81529221216533,Yes
7590-VHVEG,Male,0,No,No,2,Yes,Yes,No,Yes,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),52.426988985827045,1339.5157879058518,No
7590-VHVEG,Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,95.76495250851492,3423.303368846304,Yes
7590-VHVEG,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,59.688192116967045,1359.7799891571885,Yes
7590-VHVEG,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,130.22777670650436,-2960.314238522251,Yes
7590-VHVEG,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),90.37053882239704,2136.835704904374,Yes
7590-VHVEG,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),74.08231814016547,1532.2442426225805,No
7590-VHVEG,Male,0,Yes,No,3,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),81.73645877310102,6073.4678249700355,Yes
7590-VHVEG,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,59.151695000600256,3972.851134077771,No
7590-VHVEG,Male,0,Yes,Yes,3,Yes,No,No,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,57.327084436573664,1754.4707315080304,No
7590-VHVEG,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.443200900716405,2852.29190816735,No
7590-VHVEG,Male,0,No,No,1,Yes,Yes,No,No,No internet service,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),23.04126052888673,2266.6463611979734,No
7590-VHVEG,Male,0,No,Yes,4,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,58.452848973890525,5051.050367954931,Yes
7590-VHVEG,Female,1,Yes,No,0,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Mailed check,85.72553558952623,284.0341423221921,Yes
7590-VHVEG,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),54.31169156881587,5965.421306844802,No
7590-VHVEG,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.6398046928635,2084.595850082699,Yes
7590-VHVEG,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,72.99665628806298,3731.3205810939576,Yes
7590-VHVEG,Female,1,Yes,No,4,Yes,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,117.09339819085449,1735.7681839579477,Yes
7590-VHVEG,Male,0,No,No,2,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),71.18574939716962,1367.352523985839,Yes
7590-VHVEG,Female,1,Yes,No,8,No,Yes,No,No internet service,No,No,No,No,Yes,One year,No,Bank transfer (automatic),79.59178978822187,-114.05897825696957,Yes
7590-VHVEG,Male,0,Yes,No,0,Yes,No,No,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),62.15251941445097,2964.947271485216,No
7590-VHVEG,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),10.56514730323574,2155.826609760538,No
7590-VHVEG,Female,1,Yes,No,5,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,104.9782619185369,5497.4286035575915,Yes
7590-VHVEG,Female,0,No,No,5,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.39750287504756,6193.296482037671,No
7590-VHVEG,Female,0,Yes,No,1,Yes,No,No,No,No,Yes,No,No,No,One year,No,Credit card (automatic),76.03731524953507,1834.1697474204375,Yes
7590-VHVEG,Female,1,No,No,9,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,72.56235984654538,-379.0572474033047,No
7590-VHVEG,Female,0,No,Yes,3,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,60.692428327575314,2093.1816367862266,No
7590-VHVEG,Female,0,No,No,12,No,No,No,No,No internet service,No,No,No,No,Month-to-month,No,Mailed check,91.47662923150523,2072.1711085937527,Yes
7590-VHVEG,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),29.14731692900402,4720.540054798052,No
7590-VHVEG,Male,0,Yes,Yes,0,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,78.08415689940792,1810.897207171345,No
7590-VHVEG,Male,0,Yes,No,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,72.0798681425843,1512.516534239171,Yes
7590-VHVEG,Female,0,Yes,Yes,11,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),79.27769322851964,-2906.7539724960625,Yes
7590-VHVEG,Female,0,No,No,1,Yes,No,No,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,69.11584934932735,2155.5361877267474,Yes
7590-VHVEG,Female,0,Yes,Yes,9,No,No,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),87.97054573559267,1218.7618113809515,Yes
7590-VHVEG,Male,0,No,Yes,4,Yes,No phone service,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,81.70112453613693,3866.0708433732216,Yes
7590-VHVEG,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,77.39532187251172,-1487.168654455691,No
7590-VHVEG,Male,0,No,Yes,2,Yes,Yes,No,No,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),98.94806869013733,3461.3179273524265,Yes
7590-VHVEG,Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,Two year,Yes,Mailed check,57.193803403752526,3366.083176865072,No
7590-VHVEG,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Two year,Yes,Electronic check,83.66774920488925,1417.8635654577058,Yes
7590-VHVEG,Male,0,No,Yes,0,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),51.46190877722326,2274.9006738307153,No
7590-VHVEG,Male,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Electronic check,53.258954716264654,4463.351168284191,No
7590-VHVEG,Female,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),85.1134045466241,2320.998263696923,Yes
7590-VHVEG,Female,0,Yes,Yes,8,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,66.28955393784408,2907.4397442445616,No
7590-VHVEG,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),90.18785612314713,1823.3617272530773,Yes
7590-VHVEG,Female,0,No,Yes,1,No,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,70.06987165829707,-264.5656922692824,No
7590-VHVEG,Female,1,No,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),76.00952828139495,2794.884199726347,Yes
7590-VHVEG,Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,47.268738773947675,-2611.0661349439233,No
7590-VHVEG,Female,0,No,No,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,65.80399395177598,2389.4327167274737,Yes
7590-VHVEG,Female,0,No,Yes,9,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,73.52102789326763,3620.5830544207547,No
7590-VHVEG,Male,0,No,No,1,No,No,No,No,Yes,Yes,No internet service,No,No,Two year,Yes,Mailed check,68.17304658695961,5563.756126756698,Yes
7590-VHVEG,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),100.95238529793394,4464.166550095465,Yes
7590-VHVEG,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,Yes,Mailed check,71.284197278986,6732.438753532389,Yes
7590-VHVEG,Female,1,No,No,4,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.68262824417573,589.3926437987793,No
7590-VHVEG,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.724011101163725,3755.8463331646694,Yes
7590-VHVEG,Female,0,Yes,No,2,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.70363560326289,-491.7187567203323,Yes
7590-VHVEG,Female,0,Yes,Yes,5,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),71.63916249154312,3578.3752199064857,No
7590-VHVEG,Male,0,Yes,No,2,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),62.9708167529048,2535.7482637405524,No
7590-VHVEG,Male,0,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),57.49915456075809,1866.6369478983574,No
7590-VHVEG,Male,0,Yes,No,4,Yes,No,No,No internet service,Yes,No,No internet service,No,No,Two year,Yes,Electronic check,123.04525344938969,2034.742457046168,Yes
7590-VHVEG,Male,0,Yes,Yes,2,Yes,No phone service,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,87.07305081013727,2143.9309447931637,Yes
7590-VHVEG,Male,0,Yes,No,2,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,57.26970365809219,2774.949786812349,Yes
7590-VHVEG,Male,0,No,No,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),58.247313809041906,4711.053022996152,Yes
7590-VHVEG,Male,0,Yes,No,0,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,17.49705523123749,-214.47976718241353,No
